"","PIJNlag","MOElag","STRESSlag","ENMO_loglag","PIJN","MOE","STRESS","ENMO_log"
"PIJN",0,0,0,0,0.5269,0,0,0
"MOE",0,0,0,0,0,0.9998,0,0
"STRESS",0,0,0,0,0,0,1,0
"ENMO_log",0,0,0,0,0,0,0,1
